"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"James Harden",0.445,0.864,3.2,7,8.7,1.7,0.5,27.9,-0.81,2.6,3.79,2.2,5.89,2.5,0.47,3.73,20.37,FALSE,TRUE,FALSE,FALSE,FALSE,70.6,"SG",3,67,75,66.5723171670516,22.826,26.51,32.65,20.742,21.3,22.23,70.3886631206636,75.3685169228571,82.1396627739764,63.4789923720473,59.5121908414028,54.24111822947
"Russell Westbrook",0.437,0.843,1.9,8.9,9.7,2,0.3,26.4,-1.77,2.49,2.69,3.23,5.39,2.84,0.23,4.14,19.24,TRUE,FALSE,FALSE,FALSE,FALSE,75.5,"PG",2,67,76.8,62.8793020272004,21.354,24.525,29.81,19.578,20.085,20.93,65.849448535821,69.7251179755968,74.9948957823043,59.9166769192913,56.1174813638298,51.0691230113723
"Stephen Curry",0.488,0.909,4.5,4.7,6.8,2.1,0.2,25.5,0.47,2.51,4.9,0.66,3.04,3.14,-0.25,2.99,17.46,TRUE,FALSE,FALSE,FALSE,FALSE,58.3,"PG",6,67,72.5,57.0619861431871,19.55,22.685,27.91,17.636,17.9,18.34,60.2864437049405,64.4939572385897,70.2149460343547,53.9733636811024,50.0125923033385,44.7495325383932
"Karl-Anthony Towns",0.557,0.835,1,12.9,2.8,0.9,1.4,22.3,3.81,1.35,0.92,3.95,0.78,0.51,2.69,3.12,17.12,FALSE,FALSE,FALSE,FALSE,TRUE,59.1,"C",8,60,68.4,55.9508134462407,17.73,18.645,20.17,19.21,22.345,27.57,54.6740995850944,53.0081477942916,50.7429402190231,58.7904466043307,62.4319203920726,67.2706985868866
"Giannis Antetokounmpo",0.521,0.757,0.6,9.3,5.3,1.7,1.5,22.2,2.55,-0.06,-0.01,2.41,2.37,2.81,4.33,2.65,17.05,FALSE,FALSE,TRUE,TRUE,FALSE,71.7,"SF",1,61,73.8,55.7220425968694,17.51,18.2,19.35,18.908,21.695,26.34,53.9956843618163,51.743002942135,48.680014538329,57.8662032480315,60.6158206715603,64.2695031113018
"Anthony Davis",0.517,0.817,0.7,10.5,2.5,1.5,2.2,26.3,2.18,0.89,-0.17,3.33,0.31,1.67,4.88,3.2,16.29,FALSE,FALSE,FALSE,TRUE,FALSE,60.6,"PF",5,58,65.8,53.2382448036951,16.496,16.805,17.32,18.368,21.485,26.68,50.8688069236163,47.7769870572846,43.5730155970987,56.2135826771654,60.0290807618563,65.0991018606505
"Kawhi Leonard",0.487,0.862,1.9,6.6,3.3,1.9,0.9,21.5,1.14,2.81,1.74,1.05,1.07,2.87,1.05,2.77,14.49,FALSE,FALSE,TRUE,FALSE,FALSE,58.9,"SF",9,54,60.8,47.3555658198614,15.614,17.3,20.11,15.138,16.11,17.73,48.1489786193832,49.1842830164251,50.5919944375089,46.3284633366142,45.0113330730046,43.2611347822089
"Kevin Durant",0.524,0.885,2.3,7.9,4.8,1.1,1.3,25,2.74,2.15,1.21,1.46,1.37,0.82,2.55,2.08,14.38,FALSE,FALSE,TRUE,FALSE,FALSE,63.9,"SF",4,68,76.1,46.9960687708494,15.326,16.745,19.11,15.73,17.755,21.13,47.2608714180009,47.6064057289039,48.0762314122722,48.1402251476378,49.6074623656858,51.5571222756951
"Isaiah Thomas",0.455,0.891,2.2,2.7,5.2,1,0.2,20.7,0.26,4.03,3.49,-0.09,2.47,0.94,-0.38,3.4,14.12,TRUE,FALSE,FALSE,FALSE,FALSE,21.4,"PG",68,19,36.5,46.1463484731845,16.118,19.115,24.11,14.078,14.015,13.91,49.7031662218021,54.3443681999402,60.6550465384555,43.0844303641732,39.157903973815,33.940348833645
"John Wall",0.452,0.808,1.2,4.8,10.3,2,0.7,22.2,-0.28,0.75,0.71,0.52,5.32,3.6,0.85,2.6,14.06,TRUE,FALSE,FALSE,FALSE,FALSE,49.1,"PG",10,47,56.1,45.9502591737234,15.416,17.45,20.84,14.278,14.605,15.15,47.5384049184329,49.6107363373767,52.4285014459316,43.6965120570866,40.8063637201262,36.9659442724458
"LeBron James",0.525,0.706,1.5,7.4,7.5,1.4,0.6,22.8,3.8,-2.53,1.33,2.1,3.95,1.61,0.67,2.9,13.83,FALSE,FALSE,TRUE,TRUE,FALSE,56.5,"SF",7,53,58.6,45.1985835257891,14.38,15.205,16.58,15.144,17.115,20.4,44.3436859579051,43.2281516338002,41.7113509584235,46.3468257874016,47.8193026408737,49.7759249609171
"Jimmy Butler",0.473,0.85,1.1,5.6,4.9,1.8,0.4,20,-0.08,2.81,0.74,1.25,2.24,3.17,0.26,2.62,13.02,FALSE,TRUE,TRUE,FALSE,FALSE,37.1,"SG",18,41,43.6,42.5513779830639,14.178,15.915,18.81,13.306,13.735,14.45,43.7207774347134,45.2466973529714,47.3215025047012,40.7217950295276,38.3755840942097,35.2579468473163
"Rudy Gobert",0.604,0.647,0.1,12,1.6,0.8,2.4,14.1,4.67,-2.86,-0.88,4.09,-0.14,0.29,6.48,1.23,12.89,FALSE,FALSE,FALSE,FALSE,TRUE,44.7,"C",13,45,50.1,42.1265178342315,12.114,10.95,9.01,15.938,20.51,28.13,37.3560091581406,31.1310924294714,22.6670248573822,48.7767901082677,57.3049311810879,68.6370965269902
"Paul George",0.451,0.885,2.7,6.8,4.2,1.8,0.4,23.7,0.18,2.58,2.6,1.36,1.01,2.44,0.09,2.53,12.79,FALSE,FALSE,TRUE,FALSE,FALSE,35.7,"SF",19,40,47.2,41.7997023351296,14.028,15.885,18.98,13.116,13.605,14.42,43.2582216006601,45.161406688781,47.7491822189915,40.1403174212598,38.0123641501073,35.1847469576679
"DeMarcus Cousins",0.472,0.766,1.3,10.9,4.1,1.6,1.3,24.4,-0.24,-0.01,1.46,2.88,1.61,1.86,2.35,2.88,12.78,FALSE,FALSE,FALSE,FALSE,TRUE,43.1,"C",14,46,51,41.7670207852194,13.392,14.31,15.84,13.778,15.275,17.77,41.2969848642743,40.6836468187886,39.8496863197484,42.1663078248031,42.6783434320389,43.3587346350734
"Damian Lillard",0.438,0.892,2.9,4.4,6.6,1.1,0.3,24.6,-0.59,3.26,2.94,0.73,2.41,0.88,-0.15,3.05,12.53,TRUE,FALSE,FALSE,FALSE,FALSE,36.8,"PG",17,40,43.1,40.9499820374647,14.252,16.835,21.14,12.528,12.525,12.52,43.9489716461797,47.8622777214749,53.1832303535026,38.3407972440945,34.9948446144868,30.5487539466021
"CJ McCollum",0.465,0.88,2.7,3.5,4.1,1.2,0.4,21.7,1.01,2.39,2.42,0.34,1.26,1,0.61,2.66,11.68,TRUE,TRUE,FALSE,FALSE,FALSE,32.3,"PG",20,28,30.6,38.1720502950988,12.894,14.715,17.75,12.072,12.66,13.64,39.7612994952175,41.8350707853581,44.6547936979504,36.945250984252,35.3720345564394,33.2815498268093
"Nikola Jokic",0.562,0.813,0.7,10,5.2,1.2,0.8,17.7,3.6,0.74,-0.08,2.5,1.81,0.66,1.05,1.4,11.68,FALSE,FALSE,FALSE,TRUE,TRUE,45.3,"PF",11,49,52.9,38.1720502950988,12.174,12.915,14.15,13.11,15.255,18.83,37.5410314917619,36.7176309339381,35.5980468070985,40.1219549704724,42.6224634406385,45.9451307359838
"Kyrie Irving",0.471,0.906,2.3,3.6,5.5,1.4,0.3,23,0.67,2.48,2.28,0.04,2.25,1.34,-0.01,2.62,11.66,TRUE,FALSE,FALSE,FALSE,FALSE,39.3,"PG",12,47,48.6,38.1066871952784,13.062,15.165,18.67,11.8,12.01,12.36,40.2793620293572,43.1144307482131,46.9692956811681,36.1128198818898,33.5559348359271,30.1583545351439
"Myles Turner",0.51,0.823,0.5,8.2,1.8,1,2.1,17.1,1.62,0.64,-0.17,1.85,-0.07,1.03,5.08,1.3,11.28,FALSE,FALSE,FALSE,TRUE,TRUE,26.1,"PF",26,29,31.5,36.8647882986913,11.36,11.48,11.68,12.99,15.555,19.83,35.030895165633,32.6378941635006,29.384112134764,39.7547059547244,43.4606633116441,48.3851270575974
"Kemba Walker",0.432,0.846,2.5,3.6,5.6,1.4,0.3,21,-0.6,1.49,3.4,0.43,2.37,1.4,-0.08,2.65,11.06,TRUE,FALSE,FALSE,FALSE,FALSE,29.5,"PG",22,34,36.3,36.1457942006672,12.512,14.69,18.32,11.01,10.935,10.81,38.5833239711619,41.7639952318661,46.0887786223353,33.6950971948819,30.5523852981568,26.3763602366429
"Draymond Green",0.456,0.708,1.3,8.1,6.2,1.8,1.2,11.5,-0.92,-0.83,0.56,1.9,3.11,3.51,2.79,0.48,10.6,FALSE,FALSE,TRUE,TRUE,FALSE,28.9,"SF",23,37,39.7,34.6424429047986,11.168,12.02,13.44,11.354,12.485,14.37,34.4388236980448,34.1731261189265,33.8118550591805,34.7478777066929,34.8830846316861,35.0627471415872
"Chris Paul",0.473,0.897,1.9,4.4,9.3,2,0.1,18.1,0.53,1.87,1.33,0.41,3.33,2.44,-0.56,1.16,10.51,TRUE,FALSE,FALSE,FALSE,FALSE,41.7,"PG",15,47,47.8,34.3483089556069,11.816,13.775,17.04,10.586,10.7,10.89,36.4370649011548,39.162629974061,42.8686019500324,32.3974840059055,29.8957953992023,26.5715599423719
"Jeff Teague",0.454,0.854,1.2,3.8,7.9,1.6,0.5,15.5,-0.47,2.1,0.72,0.55,3.89,1.89,0.26,1.47,10.42,TRUE,FALSE,FALSE,FALSE,FALSE,15.6,"PG",43,17,18.3,34.0541750064152,11.762,13.775,17.13,10.488,10.59,10.76,36.2705448008957,39.162629974061,43.0950206223037,32.0975639763779,29.5884554465003,26.2543604205622
"Marc Gasol",0.466,0.819,0.9,7.4,4.2,1,1.4,17.5,0.05,1.23,0.97,1.21,1.65,0.85,2.55,1.86,10.38,FALSE,FALSE,FALSE,FALSE,TRUE,21.5,"C",33,25,26,33.9234488067744,11.15,12.305,14.23,11.142,12.285,14.19,34.3833169979584,34.9833874287347,35.7993078491174,34.0990711122047,34.3242847176823,34.6235478036968
"Hassan Whiteside",0.553,0.635,0,14.1,0.9,0.8,2.7,16.3,3.29,-2.84,-0.88,4.36,-0.44,0.54,4.71,1.58,10.32,FALSE,FALSE,FALSE,TRUE,TRUE,39.9,"PF",16,37,41.1,33.7273595073133,9.488,8.24,6.16,12.792,16.5,22.68,29.2581983566484,23.4265024309447,15.4971002354577,39.1487450787402,46.100992905312,55.3391165741961
"Bradley Beal",0.471,0.818,2.7,3.6,3.8,1.3,0.3,22.1,1.02,1.01,3.1,0.09,1.13,1.34,-0.11,2.54,10.11,FALSE,TRUE,FALSE,FALSE,FALSE,27.4,"SG",27,25,26.6,33.0410469591994,11.158,12.73,15.35,10.31,10.61,11.11,34.4079866424412,36.1916718380977,38.6169624373825,31.552811269685,29.6443354379006,27.1083591331269
"Klay Thompson",0.478,0.863,3.4,3.6,2.5,0.9,0.6,21.5,0.46,1.1,3.9,0.32,0.33,0.82,0.54,2.47,9.92,FALSE,TRUE,FALSE,FALSE,FALSE,26.3,"SG",24,27,30.8,32.4200975109058,10.986,12.585,15.25,10.184,10.58,11.24,33.8775892860602,35.7794336278445,38.3653861348588,31.1671998031496,29.5605154508001,27.4255586549367
"Brook Lopez",0.483,0.811,0.9,6.2,2,0.7,1.5,18.2,0.62,0.77,1.51,0.91,0.45,-0.04,3.41,2.05,9.68,FALSE,FALSE,FALSE,FALSE,TRUE,16,"C",45,20,21.8,31.6357403130613,10.226,11.045,12.41,10.668,12.15,14.62,31.5339730601904,31.4011795327407,31.2206191431867,32.6484375,33.9470947757298,35.6727462219906
"Mike Conley",0.452,0.863,2,3.8,5.8,1.4,0.3,18.5,0.07,1.75,2.17,0.1,2.36,1.61,-0.18,1.8,9.68,TRUE,FALSE,FALSE,FALSE,FALSE,24,"PG",32,32,30.3,31.6357403130613,10.936,12.82,15.96,9.678,9.675,9.67,33.7234040080424,36.4475438306687,40.1515778827768,29.6186331200787,27.031945839933,23.5947644300034
"Otto Porter Jr.",0.492,0.812,1.8,5.9,1.8,1.5,0.5,13.1,1.65,0.48,1.76,1.47,0.04,2.35,0.61,1.1,9.45,FALSE,FALSE,TRUE,FALSE,FALSE,16.2,"SF",44,21,19.5,30.884064665127,9.906,10.59,11.73,10.196,11.315,13.18,30.5471872808768,30.1076044591874,29.5099002860258,31.2039247047244,31.614105134764,32.1591515188671
"Kyle Lowry",0.429,0.825,2.6,5,6.5,1.8,0.3,19.1,0.21,0.95,2.56,0.32,2.24,1.52,-0.18,1.65,9.28,TRUE,FALSE,FALSE,FALSE,FALSE,26.6,"PG",28,34,36.1,30.3284783166538,10.43,12.155,15.03,9.35,9.455,9.63,32.1630489945028,34.556934107783,37.8119182693067,28.6148191437008,26.4172659345288,23.4971645771388
"Gordon Hayward",0.463,0.844,1.9,5.6,4.1,1.3,0.3,20.6,0.53,1.62,1.78,0.86,1.01,1.03,-0.15,2.18,8.87,FALSE,TRUE,TRUE,FALSE,FALSE,30.1,"SG",21,32,34,28.9885347703362,9.752,11.075,13.28,9.118,9.49,10.11,30.0722966245821,31.4864701969311,33.4093329751426,27.9048043799213,26.5150559194795,24.6683628115133
"Serge Ibaka",0.461,0.816,1.4,6.7,1.1,0.5,1.5,12.2,0.74,0.71,1.33,1.59,-0.3,0.05,3.41,1.3,8.82,FALSE,FALSE,FALSE,TRUE,FALSE,12,"PF",57,15,15.7,28.8251270207852,9.168,9.69,10.56,9.968,11.69,14.56,28.2714125773348,27.5488845334774,26.5664575464989,30.5061515748032,32.6618549735211,35.5263464426938
"Ricky Rubio",0.387,0.877,1.1,4.5,8.2,1.8,0.1,13,-1.32,1.99,0.19,0.42,4.21,2.71,-0.49,0.61,8.33,TRUE,FALSE,FALSE,FALSE,FALSE,9.7,"PG",59,19,18,27.223731075186,9.608,11.525,14.72,8.052,7.635,6.94,29.628243023891,32.7658301597861,37.0320317314834,24.6424089566929,21.3321867170944,16.9335744719983
"Eric Bledsoe",0.444,0.836,1.3,4.9,6,1.6,0.5,18.7,-0.79,1.77,0.97,0.49,2.25,1.58,0.23,1.74,8.25,TRUE,FALSE,FALSE,FALSE,FALSE,20.7,"PG",39,24,25,26.9622786759045,9.248,10.745,13.24,8.236,8.215,8.18,28.5181090221632,30.5482728908374,33.3087024541331,25.2055241141732,22.9527064677053,19.9591699107991
"DeMar DeRozan",0.449,0.842,0.5,5.1,4,1.1,0.2,23.1,0.44,2.06,-0.29,0.82,1.3,1.18,-0.38,3.04,8.17,FALSE,TRUE,FALSE,FALSE,FALSE,22.9,"SG",29,25,27.9,26.700826276623,8.784,9.705,11.24,8.346,8.61,9.05,27.0872696421584,27.5915298655726,28.2771764036599,25.5421690452756,24.0563362978628,22.0819667106029
"Goran Dragic",0.462,0.79,1.2,3.8,5.2,1.1,0.2,16.4,0.66,0.38,1.21,0.29,2.29,1.52,-0.38,1.94,7.9,TRUE,FALSE,FALSE,FALSE,FALSE,15.9,"PG",47,22,22.2,25.818424429048,8.676,9.84,11.78,8.014,8.185,8.47,26.7542294416401,27.9753378544291,29.6356884372877,24.5261134350394,22.8688864806048,20.6667688440671
"Gorgui Dieng",0.53,0.831,0.1,6.8,1.9,0.9,0.9,7.8,1.08,0.46,-0.59,2.14,0.32,1.49,2.42,0.57,7.87,FALSE,FALSE,FALSE,TRUE,TRUE,8.9,"C",60,8,5.1,25.7203797793174,7.908,7.965,8.06,8.998,10.69,13.51,24.3859435712874,22.6446713425333,20.2770499834073,27.5375553641732,29.8678554035022,32.9643503049995
"Nicolas Batum",0.401,0.851,2,5.4,5.6,1.1,0.4,13.9,-1.79,1.39,1.53,1.3,2.53,1.43,0.16,1.28,7.84,FALSE,TRUE,TRUE,FALSE,FALSE,13,"SF",54,10,15,25.6223351295869,8.93,10.565,13.29,7.774,7.675,7.51,27.5374906539703,30.0365289056954,33.434490605395,23.7916154035433,21.4439466998951,18.324372375318
"DeAndre Jordan",0.689,0.463,0,13.5,1.2,0.8,1.9,12.3,5.5,-6.47,-0.88,4.49,-0.15,0.36,3.75,1,7.61,FALSE,FALSE,FALSE,FALSE,TRUE,15.7,"C",41,17,18.8,24.8706594816526,6.11,3.86,0.11,10.358,14.48,21.35,18.8414409737691,10.9740654591561,0.276733932776031,31.6997108759843,40.4571137738738,52.09392146645
"Al Horford",0.494,0.802,1.1,7.4,4.3,0.9,1.3,13.8,0.45,0.25,0.65,1.22,1.65,0.39,2.11,0.85,7.57,FALSE,FALSE,FALSE,FALSE,TRUE,13.1,"C",46,19,18,24.7399332820118,8.08,8.845,10.12,8.326,9.46,11.35,24.9163409276685,25.1465308254497,25.4595218153948,25.4809608759843,26.4312359323789,27.6939582503142
"Dennis Schroder",0.439,0.822,1.3,3.7,5.9,1,0.1,20.1,-0.23,1.27,0.9,0.13,2.85,1.06,-0.28,1.79,7.5,TRUE,FALSE,FALSE,FALSE,FALSE,13.8,"PG",48,14,16.9,24.5111624326405,8.504,10.01,12.52,7.424,7.31,7.12,26.223832085259,28.4586516181743,31.4973530759628,22.7204724409449,20.4241368568382,17.3727738098887
"Kristaps Porzingis",0.445,0.819,1.5,8.1,2,0.9,1.9,19.7,-0.25,0.21,1.12,1.27,-0.14,0.23,3.58,1.35,7.37,FALSE,FALSE,FALSE,TRUE,FALSE,26.6,"PF",25,36,37.8,24.0863022838081,7.608,7.965,8.56,8.29,9.67,11.97,23.4608319031809,22.6446713425333,21.5349314960257,25.3707861712598,27.0179758420829,29.2067559697146
"Lou Williams",0.415,0.861,1.7,2.3,2.5,1,0.2,14.9,-0.95,2.53,2.03,-0.1,0.92,1.24,-0.15,1.81,7.33,TRUE,TRUE,FALSE,FALSE,FALSE,3,"PG",97,10,6.8,23.9555760841673,8.426,10.07,12.81,7.09,6.73,6.13,25.9833030515513,28.6292329465549,32.2269243532814,21.6982960137795,18.8036171062273,14.9571774514913
"Carmelo Anthony",0.438,0.825,1.8,6.1,3.3,1,0.5,19.6,-1.02,1.23,1.81,1.08,0.72,0.66,0.3,2.3,7.08,FALSE,FALSE,TRUE,TRUE,FALSE,17,"SF",35,13,18.5,23.1385373364126,7.832,8.96,10.84,7.152,7.26,7.44,24.1515819487005,25.4734783715126,27.2708711935652,21.8880413385827,20.2844368783373,18.1535726328051
"Paul Millsap",0.462,0.76,1.2,7.8,3.7,1.7,1.1,17.4,-0.49,-0.09,0.46,1.56,1.01,1.55,1.29,1.45,6.75,FALSE,FALSE,FALSE,TRUE,FALSE,19.7,"PF",36,20,20.9,22.0600461893764,7.026,7.44,8.13,7.222,7.93,9.11,21.6661152670543,21.1520847192025,20.4531533951739,22.1022699311024,22.15641659025,22.2283664898998
"Tobias Harris",0.466,0.82,1.3,5.3,2,0.9,0.4,14.8,0.83,0.96,1.06,0.98,0.2,0.6,0.5,1.6,6.73,FALSE,FALSE,TRUE,TRUE,FALSE,5.2,"PF",73,12,8.8,21.9946830895561,7.174,7.84,8.95,7.192,7.885,9.04,22.1225036899869,22.2892935750736,22.516079075868,22.0104576771654,22.0306866095991,22.0575667473868
"Jrue Holiday",0.457,0.78,1.4,3.5,6.8,1.6,0.5,15.3,-0.11,-0.69,0.9,0.21,2.77,1.86,0.67,1,6.61,TRUE,TRUE,FALSE,FALSE,FALSE,10.9,"PG",53,18,14.2,21.6025044906338,7.206,8.1,9.59,6.764,6.995,7.38,22.2211822679182,23.0284793313898,24.1261674120194,20.7006028543307,19.5440269922823,18.0071728535083
"Jonas Valanciunas",0.558,0.801,0,9.7,1,0.5,1,12.1,2.52,0.53,-0.86,2.7,-0.44,-0.07,1.32,0.86,6.56,FALSE,FALSE,FALSE,FALSE,TRUE,6.7,"C",72,9,8.7,21.4390967410829,6.406,6.175,5.79,7.868,9.83,13.1,19.7542178196342,17.5556617125101,14.5662679161202,24.0792937992126,27.4650157732859,31.963951813138
"James Johnson",0.463,0.688,0.9,4.8,3,1.1,1,11.2,0.58,-0.87,0.67,0.77,1.19,1.12,2.11,0.89,6.48,FALSE,FALSE,TRUE,TRUE,FALSE,3.4,"SF",75,7,3.5,21.1776443418014,6.678,6.975,7.47,7.172,8.21,9.94,20.5929857320508,19.8300794242523,18.7927497985177,21.949249507874,22.9387364698553,24.253563436839
"Trevor Ariza",0.413,0.773,2.3,5.3,2.5,1.9,0.3,11.1,-1.37,-0.29,2.53,1.19,0.44,3.3,-0.15,0.81,6.46,FALSE,FALSE,TRUE,FALSE,FALSE,5.4,"SF",71,11,9,21.112281241981,6.996,7.8,9.14,6.394,6.295,6.13,21.5736041002437,22.1755726894864,22.9940740506629,19.5682517224409,17.588227293269,14.9571774514913
"Robert Covington",0.402,0.834,2.6,6.3,1.8,1.9,0.8,13.9,-1.53,0.56,1.56,1.08,-0.1,2.68,1.53,0.67,6.45,FALSE,FALSE,TRUE,TRUE,FALSE,7.1,"PF",61,12,8.8,21.0795996920708,6.854,7.46,8.47,6.666,6.99,7.53,21.1357179106733,21.208945161996,21.3085128237544,20.4006828248032,19.5300569944322,18.3731723017503
"LaMarcus Aldridge",0.486,0.833,0.3,7.9,1.9,0.7,1,16.9,0.68,0.64,-0.47,1.51,0.17,0.2,2.18,1.44,6.36,FALSE,FALSE,FALSE,TRUE,FALSE,10.7,"PF",50,16,14.6,20.7854657428791,6.428,6.53,6.7,7.234,8.545,10.73,19.822059341962,18.5649345720957,16.8556122690855,22.1389948326772,23.8747263258116,26.1811605309138
"Nikola Vucevic",0.492,0.741,0.2,9,2.7,0.9,0.8,15.7,0.39,-1.08,-0.47,2.8,0.69,1.12,1.7,1.14,6.29,FALSE,FALSE,FALSE,FALSE,TRUE,9.8,"C",58,16,13.8,20.5566948935078,6.118,5.86,5.43,7.268,8.735,11.18,18.866110618252,16.6601097385116,13.660593227035,22.2430487204724,24.4055862441152,27.2791588756399
"Kevin Love",0.431,0.833,2.1,9.7,2.2,0.9,0.4,15.7,-0.92,1.7,1.71,2.23,0,0.42,-0.11,1.24,6.27,FALSE,FALSE,FALSE,TRUE,FALSE,17.7,"PF",37,21,23.9,20.4913317936875,6.952,7.975,9.68,6.51,6.87,7.47,21.4379210555881,22.6731015639301,24.3525860842907,19.9232591043307,19.1947770460299,18.2267725224535
"Devin Booker",0.428,0.831,2,3.5,3.9,1.1,0.3,21.7,-1.48,1.38,1.74,0.13,1.13,1,-0.11,2.43,6.23,FALSE,TRUE,FALSE,FALSE,FALSE,15.6,"SG",42,13,19,20.3606055940467,7.08,8.355,10.48,5.938,5.5,4.77,21.8326353673135,23.7534499770076,26.36519650448,18.1727054625984,15.366997635104,11.6387824540968
"Elfrid Payton",0.46,0.661,0.5,4.6,6.6,1.4,0.4,12.5,0.45,-1.05,-0.17,0.83,3.08,1.49,0.54,1.04,6.2,TRUE,FALSE,FALSE,FALSE,FALSE,11.3,"PG",56,12,7.9,20.2625609443161,6.572,7.13,8.06,6.564,7.11,8.02,20.2661129426532,20.2707478559024,20.2770499834073,20.0885211614173,19.8653369428345,19.568770499341
"Marcin Gortat",0.545,0.654,0,8.9,1.4,0.6,0.9,9.7,2.97,-1.29,-0.88,3.16,0.04,0.02,1.25,0.7,5.97,FALSE,FALSE,FALSE,FALSE,TRUE,5.3,"C",88,9,9.8,19.5108852963818,5.544,4.905,3.84,7.446,9.66,13.35,17.0960636266082,13.9450235951194,9.66053001690871,22.7878014271654,26.9900358463827,32.5739508935414
"Andrew Wiggins",0.474,0.769,1,4.5,2.6,1.2,0.5,21,-0.26,-0.31,0.96,0.53,0.55,1.31,0.2,2.86,5.82,FALSE,TRUE,FALSE,FALSE,FALSE,13.6,"SG",40,10,15,19.020662047729,6.06,6.42,7.02,5.914,6.055,6.29,18.6872556957514,18.2522021367311,17.6606564371612,18.0992556594488,16.9176673964645,15.3475768629495
"Harrison Barnes",0.45,0.819,1.4,5.8,1.7,0.9,0.2,16.2,0.44,1.48,0.51,0.86,0.01,0.78,-0.32,2.01,5.77,FALSE,FALSE,TRUE,FALSE,FALSE,6.3,"SF",64,11,9.9,18.8572542981781,6.17,6.77,7.77,5.966,6.26,6.75,19.0264633073904,19.2472598856184,19.5474787060887,18.2583968996063,17.4904373083184,16.4699751708917
"Jae Crowder",0.45,0.826,1.4,4.1,1.7,1,0.3,9.8,0.14,0.53,1.92,0.97,0.29,1.03,-0.04,0.94,5.77,FALSE,FALSE,TRUE,FALSE,FALSE,5.4,"SF",65,10,8.6,18.8572542981781,6.318,7.14,8.51,5.984,6.305,6.84,19.482851730323,20.2991780772991,21.4091433447638,18.3134842519685,17.6161672889692,16.6895748398369
"Markieff Morris",0.457,0.805,1,6.6,2.2,1.2,0.6,14.1,-0.02,0.87,0.39,1.36,0.08,1.31,0.64,1.07,5.7,FALSE,FALSE,FALSE,TRUE,FALSE,2.1,"PF",98,6,2.4,18.6284834488068,5.968,6.37,7.04,6.096,6.69,7.68,18.4035547841987,18.1100510297473,17.710971697666,18.65625,18.6918571234265,18.7391717499923
"Greg Monroe",0.526,0.751,0,7.1,2.2,1,0.5,12.2,1.99,-0.45,-0.88,1.56,0.53,1.61,0.47,0.84,5.67,FALSE,FALSE,FALSE,TRUE,TRUE,1.6,"PF",93,4,2.1,18.5304387990762,5.51,5.27,4.87,6.474,7.68,9.69,16.9912176375561,14.9827266761017,12.2517659329025,19.8130843996063,21.4579166977452,23.6435643564356
"Blake Griffin",0.501,0.757,0.5,7.9,5.1,1,0.4,22.4,1.19,-0.26,-0.2,1.38,1.37,0.54,-0.04,1.59,5.57,FALSE,FALSE,FALSE,TRUE,FALSE,21.1,"PF",31,23,23.9,18.2036232999743,5.752,6.025,6.48,6.076,6.835,8.1,17.737474383162,17.1292083915584,16.3021444035334,18.5950418307087,19.0969870610793,19.76397020507
"Danilo Gallinari",0.42,0.882,2.2,5,2.2,0.8,0.3,17.1,-0.28,2.72,1.37,0.52,0.14,0.02,-0.32,1.24,5.41,FALSE,FALSE,TRUE,TRUE,FALSE,4.1,"SF",74,10,6.7,17.6807185014113,6.256,7.525,9.64,5.394,5.37,5.33,19.291661985581,21.3937416010751,24.2519555632812,16.507843257874,15.0037776910015,13.0051803942004
"T.J. McConnell",0.466,0.778,0.3,2.6,4.9,1.3,0.1,5.9,0.07,0.25,-0.68,0.14,3.11,2.9,-0.49,0.03,5.33,TRUE,FALSE,FALSE,FALSE,FALSE,0,"PG",168,0,1,17.4192661021298,5.866,6.67,8.01,5.274,5.19,5.05,18.0890168170425,18.9629576716506,20.1512618321455,16.140594242126,14.5008577683981,12.3219814241486
"Dwight Howard",0.605,0.53,0,10.5,1.4,0.9,1.2,12.1,3.96,-5.33,-0.88,3.61,-0.09,0.75,2.31,0.95,5.3,FALSE,FALSE,FALSE,FALSE,TRUE,7,"C",66,9,10.2,17.3212214523993,4.04,2.15,-1,7.276,10.24,15.18,12.4581704638343,6.11249760030716,-2.51576302523664,22.267531988189,28.6105555969936,37.0391441620942
"Steven Adams",0.582,0.587,0,8.1,1.3,1,1.1,10.3,2.71,-2.48,-0.88,1.96,-0.22,1.52,1.84,0.75,5.2,FALSE,FALSE,FALSE,FALSE,TRUE,2.6,"C",80,6,4.4,16.9944059532974,4.484,3.41,1.62,6.502,8.455,11.71,13.8273357326319,9.69470549630113,4.07553610088336,19.8987758366142,23.6232663645099,28.5723569260951
