"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"Bam Adebayo",0.496,0.65,0,2.9,0.4,0.2,0.4,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"PF",185,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Simmons",0.494,0.693,0.1,7.7,2.9,1.1,0.5,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,"PF",49,13,15.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boban Marjanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogdan Bogdanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandan Wright",0.589,0.692,0,3.6,1,0.6,0.9,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caleb Swanigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caron Butler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandler Parsons",0.434,0.736,1.1,3,1.8,0.6,0.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheick Diallo",0.529,0.706,0,2.5,0.3,0.2,0.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Andersen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Bosh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"C",179,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Kaman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D.J. Wilson",0.438,0.765,0.3,2,0.4,0.2,0.3,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dahntay Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Aaron Fox",0.421,0.735,0.4,2.7,3.2,0.9,0.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"PG",123,1,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dejounte Murray",0.448,0.773,0.4,1.7,2.1,0.5,0.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delon Wright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
